My account,حسابي
Sell,حساب التاجر
Support,الدعم الفني
Electronics,الإلكترونيات
Fashion,الموضة
Home & kitchen,المنزل و المطبخ
Beauty & fragrance,مستحضرات تجميلية
Baby & kids,الأطفال
Grocery,السوبرماركت
Deals,العروض
Shop now,احصل عليه الآن
Discount,خصم
Products,منتجات
Big discount products,الخصومات المغرية
Up to % of ,خصم حتى ٪
Best seller,الأفضل مبيعاً
Featured products,المنتجات المميزة
Sale products,المنتجات ذات الخصم
New,جديد
Men’s fashion,ملابس الرجال
Watches,ساعات
Eyewear,نظارات
Girl’s fashion,ملابس الفتيات
Women’s fashion,ملابس النساء
Foot wear,الأحذية
Fashion accessories,اكسسوارات
Women’s handbag,حقائب اليد
Boy’s fashion,ملابس الفتيان
Featured products,المنتجات المميزة
Latest products,آخر المنتجات
New products,المنتجات الجديدة
Random products,منتجات عشوائية
Sale products,الخصومات
Sports,الرياضة
Furniture,مفروشات
Tennis,كرة الطاولة
Football,كرة القدم
Pants,بنطلونات
Digital,دجتل
Television,تلفزيونات
Scarves,أوشحة
Swimming,سباحة
Climbing,تسلق
Skirts,تنانير
Laptops & it,حاسوب محمول و برمجيات
Headphones & earphones,سماعات
"Camera,photo,vedio",الكاميرا و مستلزمات التصوير
Mobiles & accessories,الهواتف و اكسسواراتها
Video games,ألعاب الفيديو
Speakers,مضخمات الصوت
Power banks,///
Wearable devices,أجهزة قابلة للارتداء
Tablet,أجهزة لوحية
Toys & hobbies,ألعاب و هوايات
Dining tools,أدوات المطبخ
Flash lights & lamps,الإنارة
Jewelry,المجوهرات
Home improvments,أدوات تطوير المنزل
Pet supplies,مستلزمات الحيوانات
Bedding,مستلزمات الفراش
Home décor,ديكور المنزل
Home storage & organization,تخزين و تنظيم المنزل
Beauty & fragrance,الصحة و الجمال
Make up,مستحضرات التجميل
Skin care,العناية بالبشرة
Tools & accessories,الادوات و الاكسسوارات
Fragrance,العطور
Hair care,العناية بالشعر
Personal care,العناية بالجسم
Health and nutrition,الصحة و التغذية
Car seats,كراسي السيارات
Bathing and skin care,الحمام و العناية بالبشرة
Baby clothing & shoes,ملابس الرضع
Maternity clothing,ملابس للحمل
"Strollers, prams & accessories",عربات الأطفال
Feeding,التغذية
Diapering,حفاضات
Baby & toddler toys,العاب تعلم المشي
Parenting books,كتب التربية
"Canned,dry & packaged food",الطعام المعلب و المجفف
Baby food,طعام الأطفال
Cooking essentials,مستلزمات الطبخ
Beverages,المشروبات
Snack food,تسالي
Breakfast food,طعام الإفطار
Candy & chocolate,الحلويات
Household supplies,مستلزمات المنزل
GO TO SHOP,متجرك
Manage order.,إدارة الطلبات
Manage product,إدارة المنتجات
Membership plans.,خطط العضوية
Messaging.,الرسائل
Vendor profile,ملف البائع
Total Products sold,إجمالي المنتجات المباعة
Total Orders Placed,مجموع الطلبات الموضوعة
Total Earned Amount,إجمالي المبلغ المكتسب
Products Status.,حالة المنتجات
Total Pending Amount.,إجمالي المبلغ المعلق
Calendar,التقويم
Profile View.,عرض ملفك
Top Selling Products.,المنتجات الأكثر مبيعاً 
Purchased On,تم الشراء
Total Products sold,إجمالي المنتجات المباعة
Billing name,اسم الفواتير
Net earned,صافي التحصيل
Sales Analytics.,تحليلات المبيعات
Today,اليوم
Week,أسبوع
View all transaction,عرض جميع المعاملات
Order report,تقرير الطلب
Product reports,تقارير المنتج
Transaction settings,إعدادات المعاملات
Customer inbox,البريد الوارد للعملاء
Admin inbox,البريد الوارد للمسؤول
Membership plan,خطة العضوية
Plans history,خطط التاريخ
Manage orders,إدارة الطلبات
Manage invoice,إدارة الفاتورة
Manage shipment,إدارة الشحن
Manage Credit memo,إدارة مذكرة الائتمان
Add simple product,إضافة منتج بسيط
Add configurable product,إضافة منتج شكلي
Add bundle product,إضافة حزمة المنتج
Add virtual product,إضافة المنتج الظاهري
Add downloadable product,إضافة منتج قابل للتحميل
Add Grouped product,إضافة كمية من المنتج
Manage attribute,إدارة الوصف
Manage attribute set,إدارة مجموعة الصفات
Vendor product attribute,وصف منتج المورد
Vendor membership plans,خطط عضوية البائعين
Vendor running plans,خطط تشغيل البائع
Order report,تقرير الطلب
Sales item,مبيعات البند
Total commission,مجموع العمولة
Net sales,صافي المبيعات
Show report,عرض التقرير
Filter report,تقرير مفصل
Vendor payment status,حالة دفع البائع
End date,تاريخ الانتهاء
Product type,نوع المنتج
Show report,عرض التقرير
No report available,لا يوجد تقرير متاح
Email Associated with PayPal Merchant Account,البريد الإلكتروني المرتبط بحساب PayPal Merchant
Bank Name,اسم البنك
Bank Branch Number,رقم فرع البنك
Bank Swift Code,كود سويفت بنك
Bank Account Name,اسم الحساب المصرفي
Bank Account Number,رقم الحساب المصرفي
Receiver,المتلقي
"From your Dashboard you have the ability to view a snapshot of your total orders , total sales , total sales country wise, sales statistics (week, month or year wise) and recent activity on your associated products.",من لوحة التحكم لديك القدرة على عرض لقطة من إجمالي طلباتك وإجمالي المبيعات وإجمالي المبيعات حسب الدولة وإحصاءات المبيعات (أسبوع أو شهر أو سنة حكيمة) والنشاط الحديث على المنتجات المرتبطة بك.
"Purchased On
Billing To Name","تم الشراء في
الفواتير إلى الاسم"
Vendor Payment,دفع البائع
Invoiced on,فاتورة على
Date shipped,تاريخ شحنها
Ship to name,الاسم المشحون له
Shipping Qty,الشحن للكمية
Shipment list,قائمة الشحن
